,vid_num,url,username,nickname,description,music,like_count,share_count,comment_count,play_count,collect_count,comments
10,84,https://www.tiktok.com/@/video/7318344719623359777/,gettingthere_,Getting there somehow,pov: Student Meal ,Funny - Gold-Tiger,39900.0,1378.0,206.0,1500000.0,2195,"['Having that meal without parmesan is a crime', 'Call me crazy but I’ve never liked store-bought pesto', 'I ate this for 14 nights straight when writing my dissertation 🫣', 'Add frozen peas to get your veggies', 'I‘m 31 and married and this is our meal quite often too 😅', '….and what about it? 😭', 'i’m sorry, pesto? in this economy??', 'Lidl Parmesan and pesto. With lidl pasta. Best combo', 'Student? Pesto?', 'Jar pesto is better than any home made pesto', 'Nope, meal of a 9-5 38yr old trying to pay rent', 'Girl dinner', 'How does this app know i just started cooking pasta 🤣😭', 'I’ve been forgetting the olive oil 🤔', 'i hope i never have to eat that again.', 'Taste good everytime tho', 'Student?😂😂😂😂😂', 'you can make it better 😭', 'When I was a student it was an expensive meal, which I was pleasing myself maybe once in a two months 😅', 'The water in the jar is compulsory 🥲', 'In my country pesto is so expensive and I always stretch the use of it.', 'Top quality meal', 'Add some Greek yogurt it’s the best!', 'HAHA real', 'pesto with mascarpone is best', 'post grad and im still eating it almost every day', 'The fact that I’m having this right now', 'ate this for dinner tn😍😍😍', 'Dude that’s 30 y.o. company owner me', 'GIRL DINNER @palomaa.rs', 'I’ve never had this actually', '@josh douglas⸆⸉ u everyday', 'looks fire', 'Where’s the feta 😭', '@kes i’m gonna think of you every time', 'And this is supposed to be bad ???', 'What’s that second watery pesto he added?', 'sundried tomato pesto on top 🗣🗣', 'pre-Jess period @JessiLeeGee2', 'Même le pesto est trop cher']"
11,92,https://www.tiktok.com/@/video/7335587451269942570/,avallol369,ava,I hate being ignored ,original sound - iz ⋆｡°✩,170100.0,778.0,153.0,793700.0,26690,"['Leaving me on delivered all day really kinda hurts', 'The worst', 'Oh I’m crying again now', 'this one’s got a little kick.', 'seriously what is wrong with my fyp', 'oh my god i wanna tag', 'please just spit in my face next time that was too much 🙁', 'If you say so', 'DO U FEEL ASHAMEDDD WHEN U HEAR MY NAMEEEEE', 'Like I understand being busy or struggling but when I know you talk to everyone else but then are silent to me it shows I’m not important', 'hard repost', 'I really hope you think of me as much as I think of you. I can’t bury my love for u you. Nobody knows me as well as you do. I just want you back.', 'I WANT TO @ THEM SO BAD', 'Do it', 'i did NOT need to see this', 'like you can yell scream or anything just please don’t ignore me because atleast when they yell they acknowledge me, but when you’re ignoring me, it makes me feel like i’m not important to you.', 'i was in such a good mood. then i saw this', 'Sorry queen!!', 'i get left on read sometimes and delivered basically all day and if i don’t text her sometimes we won’t text at all', 'how do i make him see this', 'Tag him!', 'i am that forgettable😄', 'me abt to send that exact text 😍', 'Im tired of being ignored I just don’t wanna ask anyone why they’re ignoring me bc I dont wanna start anything but they don’t understand how it hurts', 'The worst feeling. When you know you know', 'the urge to repost', 'i feel desperate texting him when he clearly didnt find me to be worthy enough to be loved but like hes loved by every piece of my being👎', 'i wanna send to him so bad', 'heavy repost on this one jesus', 'oh now this one’s got a little kick to it', 'my parents used to ignore me so now i js go quiet', 'I loooove the end of the fucking world', 'It is wat it is 🔁', 'Caption', 'Oh!', 'Accept I’m the person saying this', 'Silent repost', 'now u got me thinking lol', 'it’s been 5 days🙂', '@laura tw', 'Womp womp', 'for fucking real bruh', 'Tf up', 'caption', 'BRO']"
12,93,https://www.tiktok.com/@/video/7339640325251599658/,naraazizasmith,Nara Smith,all I want is sweet things ,original sound - Nara Smith,1000000.0,3712.0,3524.0,10800000.0,71966,"['""nara smith lobotomy"" being the search is sending me', 'I thought the plate was the snack😭', 'Dying 😭', 'Cinnamon Marshmallow Popcorn Smith 💖', 'your portion control is elite.', 'Why is the search Nara smith lobotomy 😭😭😭😭', 'Girl what is that plate', 'How was she a model?', 'Show us 😳😳😳', 'wow 10.30pm make up for bed', '“Look at that” no sis look at that pregnancy glow 🤩', 'definitely a pregnancy craving 😭', ""I bet you're a Virgo"", 'She didn’t make the marshmallows 👀👀👀👀', 'A deconstructed popcorn ball', 'I think she’s having a girl', ""bunch of insecure ppl always in nara's comment section"", 'The popcorns on a white blood cell✨', 'Plate looks like a balloon', 'The way my BMI set up, I could never', ""there's animal bones in marshmallow""]"
13,85,https://www.tiktok.com/@/video/7340054197871627525/,mort_allie,Mort, ,original sound - Mort,291000.0,977.0,503.0,2100000.0,8959,"['Please continue witnessing / protesting the genocide in Palestine', 'Good to see centaur accessibility is being taken more seriously', 'It took me a full day and 3 watches to realize that was for horse riders, I’ve spent the last 24 hours just like “I guess centaur buttons are a thing”', 'wait this is the third centaur tikok i’ve seen this morning, do any centaurs know what’s going on???', 'Animal crossing irl', 'THATS NOT FOR YOU', 'If I have my coconuts can I use the centaur button too?', 'It took me way too long to figure out that it wasn’t actually a centaur', 'Phew. I thought it was a SUMMONING button', '@emily anne 🍉 I feel like you should see this', '@Babymetal Stan 👾 a button for chiron!!', ""centaur? that's a person riding a horse"", 'Shhh! It’s a centaur! (A weirdly shaped one)', 'is the time allowed to cross different (like do you now need to gallop to make the light)', 'not me thinking that sign had a helicopter on it at first and picturing helicopters waiting to cross the street', 'Urban fantasy core', 'Onwards reference?', 'just gonna trot across now huh? 😂', 'Be careful with the way you say that word, Centaurtok is up in arms over the pronounciation.', ""i'm just imagining chiron walking to the empire state building and having to use the cross walk"", 'does it work if im a Sagittarius']"
14,9,https://www.tiktok.com/@/video/7339982535172050182/,shaniaoliver,ShaniaO,Friendship bracelt mug ❤️ ,youre on your own kid - clo ♡,121000.0,3263.0,720.0,776400.0,18473,"['Can’t wait to see it when you pick it up!', 'And now I need to go to my local pottery painting spot', 'You just gave so many of us ideas 😭🖤', 'Happy to share it with my swiftie friends ❤️', '@d PLEASE WE HAVE TO', '@caity our sign to go pottery painting', '@spam we need to paint Taylor Swift mugs', 'I want to buy one', 'need', '@Bella this is so cute', ""I'd pay more than $125 for that mug"", '@shay ౨ৎ brb gonna go take up pottery!’', 'the tortured poets department erasure!', '@katie_render @Nina Z🩷 can we add pottery painting to the summer bucket list!!', '@addie ❤️@Emory Muller!!! I NEED THIS', '@Reese Kay 🌞 @clara (Taylor’s version) should do this too', 'This is SUCH a good idea', 'STOP SO CUTE!!!!!!', '@Aaliyah can we go paint things', '@EP ;) THIS IS SO CUTE', '@Royal Canadian Mounted Police I should do this at fire it']"
15,46,https://www.tiktok.com/@/video/7330757068103650561/,Fidelity ℠,Fidelity ℠,Ready to crush your goals? Save + invest smarter with tools that help make progress easy.,Promoted Music,1072.0,0.0,0.0,7900000.0,10,[]
16,11,https://www.tiktok.com/@/video/7335995398525422878/,yurilamasbella,Yuri Lamasbella,POV: your kid at school ,Awkward failure · I have done ... - Zassh,1300000.0,38000.0,5799.0,9700000.0,45171,"['Ok but the beating thing, my kid did that. Great chat with CPS 🤦\u200d♀️', 'I accidentally told my teacher that my mom got a nose job. She had sinus surgery. During conferences my teacher told her it looked so natural 😂', 'My son telling people I peed out of my mouth 😳… I was pregnant, sick, & it was pineapple juice 🤦🏾\u200d♀️', 'I teach kindergarten. A kid told me that his mom made him sleep outside. They had gone camping.', 'So true. I have 1 child but when people she tells them she’s not the only child she has two sisters who never get to go out of the house. We have two cats. 🤦🏻\u200d♀️', 'I used to teach preschool and a kid told me her dad puts her in a dark room when she misbehaves. He sent her to her room and she turned the light off to cry in silence 🥴', '😂😂😂social workers....', 'My son over hear me calling a football player “zaddy” he went and told his couch his dad’s a football player. He knows his dad is a truck driver', 'My son said “do” for everything. So in a crowded McDonald’s playland years ago it should come as no shock he yelled “you do coke right mom?” As he helped set the drinks he carried out 🤦🏻\u200d♀️', '🤣😂 MYYYYYY children', 'My mom had pneumonia when I was younger and I told my teacher she had Amnesia.', 'I used to call Apple juice “tequila”. It was funny until my little sister asked for tequila at day care. *ensue parent teacher conference*', ""my daughter told her cousin I do pills I had to explain to her it's not pills it's my medicine that I need 🤣🙄"", 'This is my biggest fear', 'My daughter’s dad & I used to argue cuz of things my kid said. Had to eventually tell him: “your source is 6… nothing has context”', 'This.', 'Yeah my now 22yr old told her kindergarten teacher her dad shoots us with a gun..it was a water gun. A whole investigation was done 🤦🏼\u200d♀️', 'My so. Told his teach that after he goes to bed his mom and dad stay up watching adult movies. 😂', 'I wish I could hear what my son has told his teachers 😅', 'My mom once had a student say his sister who normally dropped him off was shot and so was at the hospital. She was getting a vaccine. 😂', 'I told my consoler my dad eats little brown kids bc his friend told me that…', 'Kids', 'The accuracy 😫🤦🏼\u200d♀️🤣🤣🤣', 'We made the mistake of calling anythign above pg13 adult movies when he was younger so he knew they weren’t for him.: didn’t age well', 'FACTS', 'still waiting for the lie', 'THE LAST ONE😭😭😭😭', 'My student said “my mom sleeps all day and daddy does everything when I go to school” turn so it her mom works nights 6 days a week so the dad can stay home with their baby 😂', 'As a pre-K teacher who also has a kiddo in pre-K this is how it is! 😅', 'I told my kindergarten teacher that my house burned down... 🤷\u200d♀️.', 'I’m dying! 😂', '@gabatron💤 Amelia when she starts school 🙈', '""Mommy gives me special medicine to make me sleep."" LAVENDER OIL. A DROP. ON HIS FOREHEAD. I told him it helped with his nightmares 😒', 'Kids will have you doing 25 to life smh the stories I’ve been told being a teacher', 'Jumping into the room like “hyeuuuh” and then saying something outta pocket is too real', '1/2 the dss cases summed up in 1 video', 'Told my son he needs to take an apple and bot only chips or go without. He told his friends I said he must go without food and they told their moms... which came back to school😭 I got called in💀', 'a kid told me ""(other kid) said that my mom\'s dead. she\'s not dead, she\'s just in jail.""', 'Working in the nurse office, definitely true. I know ALL yall business 😂😂', 'LOLL this is hilarious']"
17,50,https://www.tiktok.com/@/video/7340215387511917856/,mayratmata,Mayra Mata,Can anyone relate? ,Souvenir De Paris - Martin Taylor,85600.0,1225.0,230.0,665000.0,2187,"['my mom has always said “you’ll just know” & i can confirm that now, i do just know 😭 idk how', 'No bc at least this makes sense still 😭', 'My grandmother does this.“You’ll know when to stop” “The ancestors will tell you when to stop” like girl IS IT A TABLESPOON OR TEASPOON!?', '🤣 Now I know how to write my recipes! I started a family recipe book and it’s like “un puño de sal” “un manojo de cilantro” 🤣', '😂😂', 'Did you add the diagram or did your mom? 😜', ""I actually love that bc I'm a visual learner"", 'The drawing is so real 🤣 Would love to share with our community on IG and TT with your permission. @Mayra Mata', 'Of course! Just tag me @ Mayra.t.mata', 'I will not let my husband cook cause I don’t got recipes I got ✨🍳vibes👩🏽\u200d🍳✨', 'Bro when my parents would try to teach me I would just count the seconds they added the seasonings bc they never had measurements 😭', 'Pls my mom also does the squiggle method for her cooking. Puerto Rican thing I guess', 'It’s always just “asi Mira”', 'My mom says, “Just enough. You’ll know when it’s enough.” Yk what she right😂😂😂', 'This is the kind of recipe I need tho 😩', 'this is how you’re supposed to measure wym', 'Cooking mama', 'my mom’s unit of measurement is “enough”', 'You did it perfectly though! 😂', 'When I ask my mom for a recipe she sends me an ingredients list, no measurements, no instructions, no temp nothin 😔', 'That’s how it’s done tho 😫', 'One time I asked my mom how much water and she was like uhh about half the bean can lol', 'this is why my albondigas never come out like hers. 🥲', ""basically if you know what the spices do, then you'll know how much you need to add"", 'the detail 🤌🏼🤌🏼', '""measure with your soul""\nbut I literally don\'t have one 🥲', ""THIS IS WHY IT TOOK ME SO LONG TO LEARN HOW TO MAKE MY MOMS TORTILLAS. She said I'd just know. 😭"", 'Lol all my recipes look like grocery lists. No instructions just a list and vibes lol', 'Me trying to copy my suegras PR rice I’m like girl….let me watch you a few more times lol', 'it’s always the foreign mothers they measure with their heart', 'Did my mom write that', 'Papa’s pizzeria ahh seasoning 😭', '✨Stir real good✨ 😌', 'I think you put too much', 'My mom once sent me a recipie and instructions, out of order, no times, no measurements, and left out the parts I obviously knew (I didn’t know) to make my own birthday dinner', 'I actually love this lmao', 'my mamaw doesn’t even write anything down 😭 i’m so sad because when she passes away and no one can make her food anymore', 'It’s like once you make it one time you do just know', 'At least you got that', 'Until you’re making it in a different size pot', 'me with my beans tho 😂', 'ts look spot on tho 😭😂']"
18,27,https://www.tiktok.com/@/video/7337416715980115230/,espnmma,ESPN MMA, ,original sound - ESPN MMA,97400.0,515.0,745.0,1300000.0,4231,"['I like ufc but Santiago Bernabeu is bigger Then The ufc', 'Go to camp nou they need the money', 'That smile when he heard theres 80k seats to sell💀', 'Xavi vs Ancelotti match', 'Topuria Vs Sergio Ramos\nI would pay for it!', '80.000 seats🤑🤑🤑', 'Dana doesn’t know el santiago bernabeu I hate Real Madrid but I know for a fact it has more history than even event center in the United States', 'Ufc 300 in bernabeau before GTA 6', 'Dana is supposed to be a worldly man but doesn’t know about Santiago bernabeu…', 'Dana papa Perez will charge you full payment, we know you don’t like to pay 😅😂', 'Lol. Barca fan here but the Bernabeu has more history than the whole ufc itself. His bald head doesn’t know how big football is.', 'Anyone else notice the money eyes on Dana when he said 80k😂', ""Football fans when someone doesn't care about football and dk something popular in football 😡😡🤬🤬🤬"", 'After Dana white kept trash talking football ? Don’t give him that privilege', 'All the soccer fans got butthurt in this comment section. 😂😂', 'Papa Perez vs Joan Laporta mai event 💀', 'he doesn’t know abt the bernabeu but claims to be a “worldly educated man” The bernabeu is bigger then the whole ufc and us combined 💀', 'Don’t people in Spain cry about to many tourists 😭😂', 'Volk get his get back', 'SNtiago Bernabéu history is bigger than the whole UFC’s']"
19,70,https://www.tiktok.com/@/video/7339065831856295210/,notolsennchris,not chris olsen, ,original sound - not chris olsen,1500000.0,4615.0,3526.0,9000000.0,75905,"['I always forget the internet is littered with teenagers that don’t understand basic concepts yet. Like yes artists sing songs from other albums on tour, this is so normal lol', 'The fact that none of y’all know that artists sometimes sing songs from their other albums aswell as the touring album lol', 'She’s grown her confidence sm and I love to see it❤️❤️❤️', 'you guys are fighting a single comment', ""Why do people act like artists don't sing their previous hits on a new tour 💀"", 'wait why’s she singing good for u in guts tour', 'for yall confused it’s bc if she just sang the guts album then it’ll be to short', ""y'all she's singing sour songs too bc if she only sang guts songs, the concert will be short 😭"", 'Chris you are everywhere', 'Chris Olson is everywhere', 'shes such a performer 😭💖', 'her confidence is insane and i love it sm', ""MAYBE I'M TOO EMOTIONAL BUT MAYBE YOU NEVER CARED IT ALL!!!!!!"", 'Chris I can’t watch any more of these videos it’s making me so jealous I can’t see her 😭😭😭', 'i really wanna go it looks so fun i’m hoping tiger tickets my mum did say i could go', 'HER SHIRT SAYING “i’m just a girl” IS SO REAL', 'SHE DOES LOOK HAPPY N HEALTHY THO I LOVE HER SOOO MUCH', 'WHY IS NO ONE SINGING IT SUPPORT OLIVIA 😫😩', 'Why is nobody talking about the random man with his son', 'Why is it so quite I would have been screaming.']"
