,abstract,lead_paragraph,headline,pub_date,document_type,section_name,type_of_material,keywords
28,"When Rishi Sunak replaced Liz Truss as British prime minister last fall, White House officials said they didn’t worry about his support for Ukraine because he left in place the respected soldier-turned-defense secretary Ben Wallace, who had orchestrated Britain’s unstinting military support of the Ukrainians.","When Rishi Sunak replaced Liz Truss as British prime minister last fall, White House officials said they didn’t worry about his support for Ukraine because he left in place the respected soldier-turned-defense secretary Ben Wallace, who had orchestrated Britain’s unstinting military support of the Ukrainians.","Promising unwavering support for Ukraine, the U.K. replaces its ex-soldier defense secretary with a savvy politician.",2023-09-01T07:25:21+0000,article,World,News,
29,"The textbooks, which cover Russian history from 1945 to present, also reimagine the brutality of Joseph Stalin’s policies.","As Russian high school students returned to classes after the summer break on Friday, they were expected to receive a heavily revised history textbook that claims that Ukraine is an “ultranationalist state” where “opposition is forbidden,” and that the United States is “the main beneficiary of the Ukrainian conflict.”",New Russian High School Textbooks Seek to Justify War in Ukraine,2023-09-01T07:52:03+0000,article,World,News,Russian Invasion of Ukraine (2022);Textbooks;Russia
30,"Australia’s consumer commission said in legal proceedings that Qantas, the country’s national carrier, had sold tickets for routes it never intended to fly.","Qantas Airways, Australia’s national airline, sold thousands of tickets for flights that it had already canceled, the country’s consumer watchdog said in a lawsuit against the carrier, and left travelers scrambling to make alternative arrangements.","Airline Sold Tickets for Already Canceled Flights, Watchdog Group Says",2023-09-01T08:50:40+0000,article,World,News,Australia;Qantas Airways;AIRLINES AND AIRPLANES;Consumer Protection;Customer Relations;Suits and Litigation (Civil);Fines (Penalties);Regulation and Deregulation of Industry
31,"The actor narrates Ann Patchett’s sentimental new novel, “Tom Lake,” about a Midwestern family.","Deciding what audiobook to listen to requires its own special calculus, related to but distinct from the factors we consider when picking a book off a shelf. From the Book Review’s own endless listening, we will select and review a different title each week, from a range of genres, to help you decide. See you next Friday.",Audiobook of the Week: Meryl Streep Would Like to Tell You a Story,2023-09-01T09:00:22+0000,article,Books,Review,"Books and Literature;Patchett, Ann;Streep, Meryl;Tom Lake: A Novel (Book)"
32,The unsung godmother of so-called “sad girl” music — and one of pop’s most wrenching chroniclers of feminized pain — has long been misunderstood.,"Earlier this month, at a concert in Arkansas, Lana Del Rey covered a song she’d never played live before: Tammy Wynette’s “Stand by Your Man.”",Are We Finally Ready to Take Tammy Wynette Seriously?,2023-09-01T09:00:23+0000,article,Arts,News,"Wynette, Tammy;Content Type: Personal Profile;Country Music;Stand by Your Man (Song);Women and Girls;Women's Rights;Jones, George (1931-2013);George & Tammy (TV Program);internal-sub-only;internal-great-read;audio-neutral-informative"
33,"Many plastics that carry the “chasing arrows” symbol, like soda cups and yogurt tubs, are rarely recycled. A new California law is raising the bar.","Jan Dell is a collector. But instead of art or action figures, she collects what she calls “bad plastic containers.” She is a connoisseur and a completist: Her specimens include lids from oatmeal canisters, cups from fast-food joints, cleaners wrapped in shrink sleeves, and many, many Amazon mailers. Each carries the familiar “chasing arrows” recycling symbol; none, she believes, will ever be recycled.",Can Plastic Recycling Ever Really Work?,2023-09-01T09:00:24+0000,article,Headway,News,Plastics;Recycling of Waste Materials;Labeling and Labels (Product);Sustainable Living;Containers and Packaging;Law and Legislation;Plastics Industry Assn;California;internal-open-access;audio-neutral-informative
34,What happens if the nearly 100 million square feet of workplace real estate stays empty?,"At an office in SoHo, rows of desks sit empty, while a shaggy dog — shadowing an owner nostalgic for work-from-home comforts — wanders the conference rooms. At a tech workplace downtown, a gaggle of 20-somethings divide into teams, calling out “Who’s on the Orange team?” and “We’re going to kill it!” as part of a game night enticing them back to in-person work. On the subway, commuters delight in a once-unimaginable indulgence: bag-spreading across two seats.",All That Empty Office Space Belongs to Someone,2023-09-01T09:00:35+0000,article,Business Day,News,"Manhattan (NYC);Real Estate (Commercial);Landlords;Telecommuting;Quarantine (Life and Culture);Coronavirus (2019-nCoV);GFP Real Estate LLC;Gural, Eric Michael;Flatiron Building (Manhattan, NY);vis-photo"
35,"Employers added 187,000 jobs in August and unemployment rose to 3.8 percent as the economy continued to lose momentum built up after pandemic lockdowns.",The United States labor market is starting to look a lot like its old self — the one that existed before the pandemic.,U.S. Hiring Settles Into a Lower Gear,2023-09-01T09:00:35+0000,article,Business Day,News,Labor and Jobs;Hiring and Promotion;Wages and Salaries;United States Economy;Inflation (Economics);Interest Rates;Federal Reserve System
36,"His new novel, “Holly,” charges into thorny contemporary debates with a pair of unassuming fiends.","A friend of mine has become a scaredy-cat since having a baby. She has been forcing herself to watch horror movies through parted fingers, hoping they will steel her nerves for the frights of everyday life. I thought of my friend’s experiment while reading “Holly,” the new mystery from Stephen King: Here is a thriller scary enough to test its readers’ mettle — and toughen them up.","In Stephen King’s Latest, Beware the Kindly Old Professors",2023-09-01T09:00:36+0000,article,Books,Review,"Books and Literature;King, Stephen;Holly (2023) (Book)"
37,The employment report could be an important factor as central bankers contemplate the future of interest rate policy.,"Federal Reserve officials are likely to closely watch employment numbers on Friday for further signs that the economy’s momentum is slowing, an important consideration for them in deciding whether to lift interest rates further.",Fed Officials Will Parse Jobs Numbers to Assess Economy’s Momentum,2023-09-01T09:00:37+0000,article,Business Day,News,"Labor and Jobs;Wages and Salaries;Interest Rates;Federal Reserve System;Powell, Jerome H;United States Economy"
38,"In four new picture books, lions, tigers and house cats stand in for young children as they rein in wild emotions or finally let out a roar.","When my daughter was 2, we were enjoying a nice afternoon at our local public library, but when it was time to go she wanted to stay. You can imagine the scene: A typically silent library suddenly erupts as a grimacing young father awkwardly carries his flailing, screaming, crying little one out the door. It was painful for everyone — for me, for the staff, for the patrons and, especially, for her. She was still learning how to communicate, how to respond appropriately to feelings like disappointment, anger and anxiety. When should we stay quiet and when should we roar? Four new books examine this question with the metaphorical help of large cats.","Big Cats, Big Feelings",2023-09-01T09:00:49+0000,article,Books,Review,"Books and Literature;Children and Childhood;genre-books-childrens;As Brave as a Lion (Book);Meza, Erika;Dear Stray (Book);Hubbard, Kirsten (Author);Gal, Susan;Hedge Lion (Book);Wilson-Owen, Robyn;Tiger & Cat (Book);Tee, Allira"
39,"“I was a little bit tired of making conventional pictures”: The artist on recreating his bittersweet installation, first seen in 1970, for the Museum of Modern Art.","A rich perfume wafts through the sixth floor of the Museum of Modern Art, where the installation of Ed Ruscha’s full-dress survey “Now Then” is underway. You sense it before you see it: a room where the white walls are turning velvety brown. A chocolate room.",Ed Ruscha’s ‘Chocolate Room’ Still Tantalizes,2023-09-01T09:00:49+0000,article,Arts,News,"Museums;Art;Chocolate;Museum of Modern Art;Ruscha, Edward"
40,"Immigrant street vendors have been setting up shop on Fifth Avenue in Sunset Park for decades. A pecking order loosely allocates the spaces, but the setup is not worry free.","On a recent Sunday, Oliver Hernandez jumped out of the van driven by his partner. It was 6 a.m. The mom-and-pop shops along Fifth Avenue in Sunset Park, Brooklyn, were shuttered.",Staking the Future on a Stretch of Sidewalk in Brooklyn,2023-09-01T09:01:09+0000,article,Real Estate,News,"Street Vendors (Non-Food);Hispanic-Americans;Immigration and Emigration;Sunset Park (Brooklyn, NY)"
41,"Walk-off wins used to be celebrated at home plate with the player who scored. At some point, without explanation, the emphasis flipped to the batter.","Ray Knight scored one of the most famous runs in baseball history, jumping onto home plate and into a sea of gleeful Mets teammates to end Game 6 of the 1986 World Series. It was a wild outpouring of joy from a team that played hard and celebrated harder.",The Forgotten Man,2023-09-01T09:01:13+0000,article,Sports,News,"Baseball;New York Mets;Tampa Bay Rays;Arozarena, Randy;Wilson, Mookie;Griffey, Ken Jr;Phillips, Brett (1994- )"
42,"Clément Beaune, who had a double coming out as a gay man with Jewish roots, wants to be mayor of Paris, revive the center-left and build the united Europe he cherishes.","On a recent visit to Kyiv, Clément Beaune, the French transportation minister, stopped off in the Ukrainian port city of Odesa to pay homage to his Jewish forebears who fled pogroms for France around 1910, only to be deported by French authorities to Auschwitz in 1944 and murdered there by the Nazis.",Europe’s ‘Tormented History’ Drives an Ambitious Macron Protégé,2023-09-01T09:01:15+0000,article,World,News,"Content Type: Personal Profile;Paris (France);Politics and Government;International Relations;Jews and Judaism;Homosexuality and Bisexuality;Discrimination;Macron, Emmanuel (1977- );France;Europe"
43,"So far, 24 states have eliminated sales taxes on period products that have been criticized as discriminatory.","On Friday, a bipartisan Texas bill that eliminates sales taxes on menstrual products went into effect, making it the 24th state in the country, as well as District of Columbia, to remove what is colloquially known as the “tampon tax.”",Texas Is the Latest State to Drop the ‘Tampon Tax’,2023-09-01T09:01:38+0000,article,Well,News,"Law and Legislation;Sales and Excise Taxes;Menstruation;Taxation;Discrimination;Health Insurance and Managed Care;Tax Credits, Deductions and Exemptions;State Legislatures;Politics and Government"
44,"“I’m no longer a leader in the fight,” says Sergio Ramírez. “Now I’m just an author being punished for the words he writes.” His latest crime tale is out in English.","Sergio Ramírez has been forced into exile twice; once for his role in a revolution and once after writing, in a work of fiction, about what that revolution became. One thing he’s learned in the interim: Dictators lack imagination.",A Nicaraguan Novelist Betrayed by the Revolution He Helped Build,2023-09-01T09:01:41+0000,article,Books,News,"Ramirez, Sergio (1942- );Books and Literature;Writing and Writers;Content Type: Personal Profile;Ortega, Daniel;Central America;Nicaragua;Dead Men Cast No Shadows (Book)"
45,"Understated and unarrogant, Ax can be taken for granted. But he has long been, and continues to be, one of the finest American pianists.","“A young pianist with the hard-to-forget name of Emanuel Ax has one thing going for him before he plays a note,” the New York Times critic Donal Henahan wrote in 1973. “But brand identification, as advertising men term it, helps in the long run only if the product delivers, and Mr. Ax’s recital at Alice Tully Hall on Monday night fortunately carried the stamp of quality.”","For 50 Years, Emanuel Ax Has Made Music Sound Simply Right",2023-09-01T09:01:45+0000,article,Arts,News,"Classical Music;Ax, Emanuel;Ma, Yo-Yo;Content Type: Personal Profile"
46,"The caregiving journey always feels like a pilgrim’s path, lonely and strange.","Dianne Feinstein makes news these days for the health challenges that seem to keep mounting, but behind her story is another, which few pay attention to. It’s the story of the family and friends who are now caregivers, who juggle the unpredictability of the day-to-day with the inevitability of the long term. No matter how many people have traveled ahead of us on the caregiving journey and have shared their experiences, it always feels like a pilgrim’s path, lonely and strange.","Behind Dianne Feinstein’s Headlines Lies Another, Untold Story",2023-09-01T09:01:46+0000,article,Opinion,Op-Ed,"Feinstein, Dianne;Elder Care;Reagan, Ronald Wilson;Dementia;Alzheimer's Disease;Anxiety and Stress;Privacy;United States Politics and Government"
47,"From Michael Jordan to Russell Westbrook, Dennis Rodman to LeBron James, “Fly” traces the looks that have defined basketball style from the beginning.","When I was growing up, there was a thing called “the ballplayer look.” It served two essential purposes: to show the world you were a hooper, and also that you were fly. It could be the way you rocked your socks and shorts, the sneaks you chose on the court, your haircut, the type of earring you wore. It all came down to a style that signaled basketball was your calling card.","A Splashy History of N.B.A. Fashion, On and Off the Court",2023-09-01T09:02:12+0000,article,Books,Review,"Basketball;Books and Literature;Fashion and Apparel;Jackson, Mitchell S;Fly: The Big Book of Basketball Fashion (Book)"
48,"The apartment sold at 220 Central Park South, a.k.a. the city’s most expensive building. The Woolworth Building also sold a penthouse, for $30 million, well below the asking price.","The year’s most expensive sale in New York City took place in August at 220 Central Park South in Midtown, where an expansive duplex in the villa portion of the park-facing condo complex closed at $80 million.",An $80 Million Duplex Is the Priciest Closing (So Far) This Year,2023-09-01T09:02:13+0000,article,Real Estate,News,"Real Estate and Housing (Residential);High Net Worth Individuals;Anderson-Lopez, Kristen;Baron, Fabien;Glaser, Daniel S (1960- );Humm, Daniel;Lopez, Robert (1975- );Manhattan (NYC);New York City;Alchemy Properties Inc;Woolworth Building (Manhattan, NY)"
49,"This season is the last before new-look leagues and an expanded playoff will make the sport feel much different. More change came Friday with California, Stanford and Southern Methodist joining the Atlantic Coast Conference.","When the college football season kicks off in earnest this Labor Day weekend, it will be a test to keep an eye on the ball. The focus for a few days may be on blocking, tackling and quick-trigger assessments of who’s up and who’s down, but then what in a sport that is on the cusp of unprecedented upheaval?","Conferences Are Changing. The Sport Is, Too.",2023-09-01T09:02:27+0000,article,Sports,News,Football (College);Atlantic Coast Conference;University of California;Stanford University;Southern Methodist University;Big Ten Conference;Pacific-12 Conference;Big 12 Conference;Oregon State University;National Collegiate Athletic Assn
50,"There the focus is on Donald Trump, and the elected leaders owe a lot of their political strength to a segment of voters signaling a desire to enter a post-Trump era.",Georgia’s 16 electoral votes and a voting population that has supported both Democrats and Republicans at the top of the ticket in recent years keep the state one of few true battlegrounds.,"In Georgia, One Republican Says, ‘We Will Do What Is Right’",2023-09-01T09:02:27+0000,article,Opinion,Op-Ed,"Georgia Criminal Case Against Trump (2020 Election);Trump, Donald J;Voter Fraud (Election Fraud);Presidential Election of 2020;Presidential Election of 2024;Georgia;Kemp, Brian P;Raffensperger, Brad;Warnock, Raphael G;Republican Party;United States Politics and Government"
51,"We tagged along to see how Brigette Romanek, a celebrity designer in Los Angeles, chose a new color for her bedroom.","Everyone knows that paint is one of the easiest, cheapest ways to transform a room. What’s not so easy? Choosing the color.",Picking the Right Wall Color Isn’t Easy. Here’s How the Pros Do It.,2023-09-01T09:02:39+0000,article,Real Estate,News,Content Type: Service;Interior Design and Furnishings;Home Repairs and Improvements;Paint;Color
52,"In opening a brick and mortar store, Elorea broadens the offerings of the perfumery.","Inside Elorea, a sleek new Korean perfumery in Manhattan’s NoLIta neighborhood, whose name is a portmanteau of “elements” and “Korea,” you will find paintings and pottery by Korean and Korean American artists, a cafe offering a chocolate and perfume pairing and shop attendants dressed entirely in black, eager to explain the brand’s gender-neutral fragrance collections.",You’ve Heard of K-Beauty. Now Try K-Perfume,2023-09-01T09:02:43+0000,article,Style,News,"Perfumes and Fragrances;Korean-Americans;Shopping and Retail;Content Type: Personal Profile;Elorea Inc;NoLIta (Manhattan, NY);Lee, Wonny (1986- );Park, Su min (1988- )"
53,"A hybrid of talk show and dinner party, “The Conversations Project” pairs gourmet meals with provocative questions about being Black in America.",Seat eight highly successful Black people around a dinner table and prompt them to discuss reparations and hairstyles and Kanye West over crayfish bisque and roast duck.,A New Hulu Series Celebrates the Many Faces of Black Success,2023-09-01T09:02:43+0000,article,Arts,News,"Television;Black People;Blacks;United States;The Conversations Project (TV Program);Hulu.com;Andscape;Spears, Marc J;Lawrence, David (Chef);Welteroth, Elaine"
